<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
50-59;Feminino;Doutorado;Arquitetura e Urbanismo;Professora universitaria;Sim;Sim;Diversão/Curiosidade;Revisão de textos, Geração de ideias, Orientação de viagens;4;1;4;5;5;5;Não sei dizer;Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo;Nao;Nao utilizei a ferramenta a ponto de saber sua real.abrangencia;1;Não sei dizer;Em projetos de arquitetura,  os projetos mais basicos e simples acredito que poderão ser realizados por IA ;;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Jornalismo;Relações Públicas;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Criação de conteúdo;4;1;4;5;5;5;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Habilidade de identificar sarcasmo e ironia., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não;Texto;3;Em um futuro distante;Escrever textos;;;;;;;
25 -34;Feminino;Mestrado;Relações Públicas;Comunicação ;Sim;Sim;Diversão/Curiosidade, Estudos;"Geração de ideias, Curiosidades e fatos triviais, Busca de referências sobre um tema; exercício em sala da diferença da análise pela I.A. e análise humana; exercício em sala na busca de temas e seu aprofundamento; Criação de poesia.";5;3;2;2;5;4;Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos.;Sim;DALL-E, Shazam;Iguais;"As vantagens são respostas rápidas, categorizadas, ideias prontas, poupa tempo para outras práticas; desvantagem pode ser que talvez nem sempre as respostas estejam certas; desacostumar quem precisa escrever extensamente e tem ali de prontidão.";Otimização de tempo, Automatização de tarefas;Não, por enquanto ;Organização de relatório com valores de serviços ;3;Em um futuro próximo;"Produção de conteúdo e automatização de publicações; criação de sites.";É preciso desenvolver a competência em informação, tecnologias, para o trabalho ser valorizado em análises e até gestão dessas ferramentas que entram para o cotidiano, mas assim como qualquer produto, também se torna obsoleto uma hora, como diz o cientista Nicholelis. Já como diz o Sidarta Ribeiro, podemos aproveitar dessas inovações para deixar que elas resolvam atividades que nos exigem um bom tempo que poderemos dedicar ao que realmente nos importa em qualidade de vida. ;;;;;;
40-49;Feminino;Pós Graduação (MBA);Relações Públicas;Estudante de pós graduação;Sim;Sim;Diversão/Curiosidade;Geração de ideias;4;2;4;4;5;3;Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas.;Não;;;;Otimização de tempo, Automatização de tarefas;Não;NÃO;3;Em um futuro distante;Criação de briefing;;;;;;;
35-39;Feminino;Doutorado;Arquitetura e Urbanismo;Professora no curso de arquitetura ;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon);Muito melhores;Comando por voz, facilidade de acesso, disponibilidade ;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Realidade aumentada;Deveria propriciar maior integracao e gestao das atividades ;3;Em um futuro próximo;Atendimento ao publico, gestão e administração ;;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Administração;Vendas;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo;4;1;5;5;5;5;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Cortana (Microsoft);Iguais;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não;Não;4;Em um futuro distante;;;;;;;;
50-59;Feminino;Doutorado;Engenharia Elétrica ;Docente no Ensino Superior ;Sim;Sim;Assistência profissional;Geração de ideias;4;3;2;3;3;4;Incorporação de conhecimento especializado em áreas específicas.;Não;;;;Aumento da produtividade;Não;O ChatGPT,algumas vezes,  traz referências bibliográficas inexistentes, bem como explicações muito erradas, quando se trata de assuntos específicos da área de tecnologia. Na minha opinião, ao invés de trazer erros, deveria ter uma resposta como: não encontrado;3;Hoje;A tutoria de cursos Ead, por exemplo ;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Jornalismo;tecnologia;Sim;Sim;Diversão/Curiosidade;Ajuda com resolução de problemas;1;5;1;1;1;1;Melhoria na compreensão de textos, Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Cortana (Microsoft), Google Translate, Shazam;Melhores;;Aumento da produtividade, Otimização de tempo;não;encontrar informações que o humano não conseguiu encontrar;2;Não sei dizer;;;;;;;;
40-49;Feminino;Mestrado;Jornalismo e pedagogia ;Professora educação infantil e freelancer comunicação ;Sim;Não;;;;;;;;;;;Google Translate;Nunca utilizei outras ferramentas.;;Traz um dado ou informação que eu não tinha ;Não ;Confiabilidade e uma seleção de informações adequadas para o meu trabalho.  Por ex, músicas educação infantil que não sejam esteriotipadas. A IA poderia ter critérios nesse sentido.;3;Não sei dizer;Produção de materiais ;A pergunta q pede para comparar o chat GT com outras ferramentas não se aplica nesse questionário, quando pessoas como eu, nunca usou. (Fica aqui uma observação a vcs sobre as alternativas das respostas para essa pergunta do formulário. Não tem.;;;;;;
60+;Feminino;Mestrado;Letras ;Tradução ;Sim;Não;;;;;;;;;;;Google Translate;Iguais;;Análise avançada de dados;Não ;Não cabe no meu caso ;2;Em um futuro distante;;;;;;;;
25 -34;Feminino;Mestrado;Jornalismo;Estudante de doutorado e empreendedora;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Ajuda com resolução de problemas;5;3;4;5;4;4;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp), Craiyon;Iguais;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Midjourney, Craiyon, DALL-E;.;3;Em um futuro distante;Bons redatores/copywriters/jornalistas precisam atuar com um componente humano, então enquanto a IA não conseguir produzir conteúdos com essas características, nunca substituirá esses profissionais. Mas os redatores/copywriters/jornalistas medianos com certeza serão substituídos em breve. ;;;;;;;
50-59;Feminino;Pós Graduação (MBA);Jornalismo;Assessoria de Imprensa ;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;2;4;1;1;1;1;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais).;Não;;;;Análise avançada de dados, Oferecer dados/informação, possibilitando o cruzamento de informações sem interpretações ou conclusões ;NÃO ;Ampla coleta e cruzamento de informações e dados;1;;;;;;;;;
25 -34;Masculino;Mestrado;Relações Públicas;Professor de Ensino Básico;Sim;Sim;Assistência profissional;Ajuda com tarefas escolares, Resumo de textos e produção de tópicos para sala de aula e redes sociais;4;3;4;5;5;3;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Shazam;Muito piores;A capacidade de compreensão do ChatGPT é muito maior e mais aprimorada do que a Alexa, por exemplo, que tem muita dificuldade de interpretação de perguntas e comentários.;Aumento da produtividade, Otimização de tempo, Análise avançada de dados;Não;leitura de texto em pdf;2;Em um futuro distante;Na tarefa de correção e triagem de avaliações e trabalhos, onde se fornece um padrão esperado e ela reúne respostas e faz uma pré-avaliação. Permitir uma correção totalmente automatizada, contudo, parece em um futuro distante, já que demanda um olhar subjetivo acerca de aspectos do estudante que a máquina não capta.;;;;;;;
=======
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;"conhece-chatgpt
";utilizou-chatgpt;porque-utilizou-chatgpt? ;paraque-utilizou-chatgpt? ;grau-entendimento-perguntas;"percentual- resposta-errada
"; percentual -utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia- com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;"vantagem-desvantagem-outras-ia
(Resposta opcional)";beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
25 -34;Feminino;Superior  Incompleto;Não;Desempregada (mas sou criadora de conteúdo digital há 1 ano e 4 meses);Sim;Sim;Diversão/Curiosidade, Assistência profissional;Geração de ideias, Criação de conteúdo;4;2;4;4;3;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Cortana (Microsoft), Google Translate, Bing;Melhores;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;não;Revisão de conteúdos meus já feitos e Analise de conteúdos de concorrentes, para poder tirar os melhores insights e se inspirar.;1;Não sei dizer;Acredito que sem o aspecto emocional a IA não conseguiria tomar espaço. Eu, como criadora de conteúdo de beleza e futura maquiadora, prezo muito pelo que é real, pelas dores e necessidades das pessoas, por historias e superações. O segmento de beleza traz por si só a questão do cuidado e do afeto e, pra mim, seria incoerente ver a IA tomando esse lugar (mesmo que fosse treinada, o que já não é algo que vem naturalmente) e aplaudindo isso. ;;;;;;;
25 -34;Feminino;Doutorado;Comunicação: Relações Públicas;Inovação;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Ajuda com resolução de problemas, Criaçao de imagens;4;2;4;5;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Identificação de informações incorretas ou falsas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Google Assistant, Alexa (Amazon), DALL-E, Google Translate, Shazam;Iguais;As outras ferramentas possuem mais formatos (imagem, por exemplo) e possbilidades de integração com outras interces, mas acredito que já possam até estar disponíveis em versão premium do ChatGPT oue já estejam desenvolvendo algo nesse sentido.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;DALL-E para design gráfico;Acredito que já exista outras IAs para facilitar meu trabalho, mas já existem tantas que não sei qual a função de cada uma. Seria interessante alguma para gerar workflows, planos de negócio apenas inserindo as informações principais, e depois o profissional humano apenas revisar e refinar.;3;Não sei dizer;Não sei se chegaria a substituir, pois ainda há necessidade de revisão e pensamento crítico sobre respostas geradas por IA. Por vezes as respostas ainda são incorretas, ou são generalistas demais e dependem de ajustes a contextos muito específicos, e é um agente humano capacitado e responsável por isso.;;;;;;;
40-49;Masculino;Doutorado;Business and Management ;Doutorado ;Sim;Sim;Assistência pessoal, Assistência profissional;Revisão de textos, Geração de ideias, Criação de conteúdo;4;3;3;4;5;4;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Firefly ;Iguais;Geração de imagens ;Aumento da produtividade, Otimização de tempo;Nao;Análise efetiva de textos, revisão de literatura ;3;Não sei dizer;;;;;;;;
18 -24;Feminino;Superior  Incompleto;Ciências da Computação ;Ciências de Dados;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;3;3;4;4;4;4;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Cortana (Microsoft), Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Piores;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Não;Análise profunda dos dados, testes estatísticos, identificação de hipóteses corretas;1;Em um futuro distante;;;;;;;;
40-49;Feminino;Doutorado;Arquiteta ;Arquiteta;Sim;Sim;Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo;5;3;4;4;4;4;Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Melhoria da tomada de decisão, Análise avançada de dados;"Veras aplicado ao desenho 3D; Midjourney e Blue Willow gerador de imagens";Auxílio no processo criativo;3;Em um futuro distante;Desenho técnico ;;;;;;;
25 -34;Feminino;Superior Completo;Bacharel em Ciências e Tecnologia com Ênfase em Engenharia de Materiais;Analista de dados | BI;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Google Translate, Shazam;Iguais;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Mais facilidade na análise de dados, mais interação e diminuição do caminho;3;Em um futuro próximo;;;;;;;;
18 -24;Feminino;Superior  Incompleto;Licenciatura em computação;Aux financeiro;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Curiosidades e fatos triviais, Ajuda com resolução de problemas;4;3;4;5;3;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Bixby (Samsung), DALL-E, Google Translate;Iguais;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Magic Write, Cactus, Izea entre outras.;3;Não sei dizer;Ja temos algumas funcionalidades com IA;Acho a IA incrível, me auxilia de um tanto, porém tem que saber dosar sua utilização, e sempre ao seu favor ;;;;;;
